ch_name,x,y,z,nonzero_loc
Fz,0.0003122,0.058512,0.06646200000000001,True
FCz,0.0003761,0.02739,0.08866800000000001,True
Cz,0.0004009,-0.009167,0.100244,True
CPz,0.0003858,-0.047318,0.099432,True
Pz,0.0003247,-0.08111499999999999,0.082615,True
C1,-0.036158,-0.0099839,0.089752,True
C3,-0.06535809999999999,-0.0116317,0.064358,True
C5,-0.08028010000000001,-0.0137597,0.02916,True
C2,0.037672,-0.0096241,0.088412,True
C4,0.06711790000000001,-0.0109003,0.06358,True
C6,0.0834559,-0.0127763,0.029207999999999998,True
F4,0.0518362,0.0543048,0.040814,True
FC2,0.034784100000000005,0.0264379,0.078808,True
FC4,0.062293100000000004,0.0237228,0.055630000000000006,True
FC6,0.0795341,0.0199357,0.024437999999999998,True
CP2,0.0383838,-0.0470731,0.090695,True
CP4,0.0666118,-0.0466372,0.06558,True
CP6,0.0833218,-0.046101300000000005,0.031206,True
P4,0.0556667,-0.0785602,0.056561,True
F3,-0.0502438,0.0531112,0.042192,True
FC1,-0.0340619,0.0260111,0.07998699999999999,True
FC3,-0.060181899999999997,0.0227162,0.055543999999999996,True
FC5,-0.0772149,0.0186433,0.024460000000000003,True
CP1,-0.0355131,-0.0472919,0.091315,True
CP3,-0.0635562,-0.0470088,0.065624,True
CP5,-0.0795922,-0.0465507,0.030949,True
P3,-0.0530073,-0.0787878,0.05594,True
